pano|pmes|conglome|submuestra|vivienda|hogar|codperso|dominio|estrato|codpanel|p103|p104|p105|p106|p107|p108|p109a|p109b|p109c|p200n|p200i|p200a|p200b|p200bb|p200c|p200d|p200dd|p200e|p200f|p200g|p201|p202|p203|p204|p2041|p2042|p2043|p2044|p2045|p2046|p2047|p2048|p2049|p20410|p204a|p205a|p206|P206AA|p207a|p207b|p208b1|p208b2|p208b3|p209a|p209b|p209c|p209d|p209e|p209f|p209g|p209t|p209bb|p209cc|p209h|p209ee|p210|p211a|p211b|p212a|p212b|p212c|p212d|p212e|p213|p214|p215|p216|p217|p218|p219|p220|p222|P223A1|P223A2|P223A3|P223A4|P223A5|P223A6|P223A7|P224|P225|ocu200|i211a|i211b|i212a|i212b|i212c|i212d|ingtot|ingprin|resident|fa_jja20
2020|06|017340|004|0089|11|03||4|19061103|3|1|2||1|22|6|5||3|4|7|6|2020|13|6|2020|9|9|1997|1||||||||||||||772|1410|4|5|1|20|15|5|2019|0|8|8|8|8|8|8|48|1||2|2|2|250|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1083|0|||||1083|1083|1|332.551239885371
2020|06|017340|004|0089|11|04||4|19061105|3|1|2||2|30|6|5||4|4|7|6|2020|13|6|2020|14|8|1989|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|326.973999450769
2020|06|017340|004|0089|11|05||4|19061106|10|1|2||1|10|3||2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017340|004|0089|11|06||4|19061107|10|1|2||1|9|3||2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017340|004|0089|11|07||4|19061108|10|1|2||2|6|2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017340|004|0089|11|08||4|19061109|10|1|2||2|4|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017375|001|0005|11|01||5|18061101|1|1|2||1|31|6|5||1|1|7|6|2020|13|6|2020|1|9|1988|1||||||||||||||421|5229|3|5|2||||2017|0|8|8|8|8|8|8|48|1||1|2|4|1100|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1100|0|||||1100|1100|1|345.328985050179
2020|06|017375|001|0005|11|02||5|18061102|2|1|2||2|32|8|5||2|1|7|6|2020|13|6|2020|99|99|1988|1||||||||||||||244|8510|3|2|2||1|3|2019|0|8|8|8|8|8|8|48|1||2|2|4|1200|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1200|0|||||1200|1200|1|317.29576678373
2020|06|017375|001|0005|11|03||5|18061103|3|1|2||2|11|3||5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017375|001|0005|11|04||5|18061104|3|1|2||2|7|3||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017375|001|0007|11|01||5|18061101|1|1|2||1|41|6|5||1|3|7|6|2020|13|6|2020|11|1|1979|1||||||||||||||916|4781|2||1|1|||2018|0|8|8|8|8|8|8|48|1||2|2||||400|20|||1|||||||||5|0|0|0|0|0|0|1|6|4|1|||400|20|||420|420|1|345.328985050179
2020|06|017375|001|0007|11|02||5|18061102|2|1|2||2|39|6|5||2|2|7|6|2020|13|6|2020|30|4|1981|1||||||||||||||945|9609|2||1|1|||2015|0|6|6|3|3|3|2|23|1||2|2||||600|0|||1|||||||||5|0|0|0|0|0|0|1|6|4|1|||600|0|||600|600|1|317.29576678373
2020|06|017375|001|0007|11|03||5|18061103|3|1|2||1|20|7|2||3|3|7|6|2020|13|6|2020|9|2|2000|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|322.707924273949
2020|06|017375|001|0007|11|04||5|18061104|3|1|2||1|13|5|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017375|001|0007|11|05||5|18061105|3|1|2||2|7|3||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017375|001|0008|11|01||5|18061101|1|1|2||2|41|6|5||1|1|21|6|2020|27|6|2020|2|2|1979|1||||||||||||||766|1071|2||1|2|1|6|2020|0|2|0|2|0|2|0|6|1||1|2||||260|0|||1|||||||||1|0|0|0|0|0|0|1|6|4|1|||260|0|||260|260|1|317.29576678373
2020|06|017375|001|0008|11|02||5|18061102|3|1|2||2|22|6|5||2|2|7|6|2020|13|6|2020|11|2|1998|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|2|2|5|0|0|0|0|0|0|1|6|4|2|||||||||1|330.470037432513
2020|06|017375|001|0008|11|03||5|18061103|3|1|2||1|17|6|5||3|3|7|6|2020|13|6|2020|11|4|2003|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|9|2|||0||2|5|0|0|0|0|0|0|1|6|4|4|||||||||1|322.707924273949
2020|06|017375|001|0008|11|04||5|18061104|3|1|2||2|13|5|2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017375|002|0037|11|01||5|20061101|1|1|2||1|49|8|3||1|1|21|6|2020|27|6|2020|99|99|1971|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|1|9|0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|140.068957358509
2020|06|017375|002|0037|11|02||5|20061102|2|1|2||2|51|4||6|2|2|14|6|2020|20|6|2020|22|11|1968|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|140.657228247844
2020|06|017375|002|0037|11|03||5|20061103|3|1|2||1|22|9|3||3|3|14|6|2020|20|6|2020|17|1|1998|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|2|1|6|0|0|0|0|0|0|1|6|4|2|||||||||1|242.030943205462
2020|06|017375|002|0037|11|04||5|20061104|3|1|2||2|13|5|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017375|002|0039|11|01||5|20061101|1|1|2||2|45|4||6|1|1|14|6|2020|20|6|2020|30|3|1975|1||||||||||||||941|9700|6||1|1|18|6|2020|0|0|0|0|10|0|0|10|2|18|2|1|2|70|8|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|303|35|||||338|338|1|140.657228247844
2020|06|017375|002|0039|11|02||5|20061102|11|1|2||1|47|4||6|2|1|14|6|2020|20|6|2020|10|3|1973|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|7|2|||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|140.068957358509
2020|06|017375|002|0039|11|03||5|20061103|11|1|2||1|29|7|2||3|3|14|6|2020|20|6|2020|26|11|1990|1||||||||||||||832|1811|4|5|1|3|16|6|2020|0|0|8|8|0|8|0|24|2|40|1|1|2|180|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|779|0|||||779|779|1|258.996738787634
2020|06|017375|002|0040|11|01||5|20061101|1|1|2||2|42|6|5||1|1|14|6|2020|20|6|2020|30|5|1978|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|237.971825087798
2020|06|017375|002|0040|11|02||5|20061102|2|1|2||1|42|6|5||2|2|21|6|2020|27|6|2020|14|3|1978|1||||||||||||||832|1811|4|5|1|5|||2014|0|9|9|9|9|9|0|45|2|50|2|2|2|280|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1212|0|||||1212|1212|1|258.996738787634
2020|06|017375|002|0040|11|03||5|20061103|3|1|2||2|15|5|3||3|3|14|6|2020|20|6|2020|4|10|2004|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|5|0|0|0|0|0|0|1|6|4|4|||||||||1|247.852528074384
2020|06|017375|002|0040|11|04||5|20061104|11|1|2||1|22|7|1||4|4|14|6|2020|20|6|2020|12|8|1997|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|242.030943205462
2020|06|017375|002|0045|11|01||5|20061101|1|1|2||2|41|6|5||1|1|21|6|2020|27|6|2020|26|10|1978|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|237.971825087798
2020|06|017375|002|0045|11|02||5|20061102|3|1|2||2|20|9|2||2|2|21|6|2020|27|6|2020|6|3|2000|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|1|1|9|0||2|5|0|0|0|0|0|0|1|6|4|4|||||||||1|247.852528074384
2020|06|017375|002|0045|11|03||5|20061103|3|1|2||1|13|5|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017379|004|0161|11|01||5|19061101|1|1|2||1|34|4||6|1|1|24|5|2020|30|5|2020|24|6|1985|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|370.310230777213
2020|06|017379|004|0161|11|02||5|19061102|2|1|2||2|31|4||6|2|2|24|5|2020|30|5|2020|5|12|1988|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|5|0|0|0|0|0|0|1|6|1|4|||||||||1|340.24907757234
2020|06|017379|004|0161|11|03||5|19061103|3|1|2||2|11|3||5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017379|004|0163|11|01||5|19061101|1|1|2||1|38|6|5||1|1|31|5|2020|6|6|2020|21|11|1981|1||||||||||||||885|4921|4|5|1|2|||2018|0|10|10|0|10|0|10|40|2|60|2|2|1|160|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|4000|0|||||4000|4000|1|370.310230777213
2020|06|017379|004|0163|11|02||5|19061102|2|1|2||2|36|3||2|2|2|24|5|2020|30|5|2020|28|2|1984|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|340.24907757234
2020|06|017379|004|0163|11|03||5|19061103|3|1|2||1|16|6|5||3|3|24|5|2020|30|5|2020|7|7|2003|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|346.052752838447
2020|06|017379|004|0163|11|04||5|19061104|3|1|2||2|9|3||3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017379|004|0163|11|05||5|19061105|3|1|2||2|6|2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017457|004|0124|11|01||3|19061102|1|1|2||2|73|3|3||1|3|14|6|2020|20|6|2020|12|7|1946|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|263.732302964707
2020|06|017457|004|0124|11|02||3|19061103|3|1|2||1|36|5|4||2|3|14|6|2020|20|6|2020|28|6|1983|1||||||||||||||931|4921|2||1|1|1|6|2020|0|0|6|6|0|6|0|18|2|24|1|1||||260|0|||1|||||||||5|0|0|0|0|0|0|1|6|4|1|||260|0|||260|260|1|485.618885226814
2020|06|017457|004|0124|11|03||3|19061104|3|1|2||2|49|6|5||3|3|14|6|2020|20|6|2020|17|11|1970|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|263.732302964707
2020|06|017457|004|0124|11|04||3|19061105|10|1|2||1|12|3||5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
